"SYMBOL","СTO_1","СTO_2","СTO_3","СTO_4","СTO_5","СTO_6","СTO_7","СTO_8","СTO_9","СTO_10"
"ABCD4",1292.37586747062,1339.06490913795,1167.8850409249,1074.25137682828,970.685365584397,1200.61069880263,1381.81217643752,1372.57373173948,1211.44668348756,1508.07883547088
"ABCE1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ABCF2",2061.99824475582,2267.47745774008,2534.5792447617,2116.81337801424,2445.76726411575,2333.12323325387,1841.45167831,2083.36668476511,1915.30843888416,2225.29065635261
"ABCF3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ABCG1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ABCG2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ABHD1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ABHD10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ABHD11",1000.98233275122,810.728042210089,1263.65414793079,973.837818766564,1046.63947269143,1140.26129412592,551.397320522831,746.880578123107,761.953273040478,1345.13113730764
"ABHD12",2240.12983939939,1497.03644935534,1841.59435981173,3126.53171853666,2562.13193959733,3025.0244999932,1917.91811594943,1977.706583842,2225.59259905098,2216.16987075795
"ABHD13",413.385388898298,427.071470766229,519.099899967436,491.944652637827,490.75301594467,452.840444442455,460.58934595055,472.897695568513,500.715383287027,404.586030079951
"ABHD14A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ABHD14B",1903.1500230665,2794.21984643806,1891.46719221803,1631.4143372336,1285.10696536231,1689.89746488907,2922.48136753894,2573.35550005454,2388.97846828373,2614.07417956686
"ABHD15",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ABHD16B",270.015786372523,224.098156104089,256.459310486819,326.754154455952,244.570263555017,279.008166593598,239.977759014044,266.199612582418,215.634103372356,241.781463350685
"ABHD17A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ABHD17B",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ABHD17C",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ABHD2",4820.98850698668,4199.07933877769,5836.28443355572,7851.94604159392,5389.69388844856,3140.4114146929,3511.82320371816,6065.2935957879,6841.84916432665,4827.53706526633
"ABHD3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ABHD4",2053.68769431692,1347.7266283408,1916.6418788854,1449.52684111467,3359.33804695939,1931.71853909824,1979.36585702889,1726.22863686527,1741.47087811243,2038.39776951134
"ABHD5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ABHD6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ABHD8",740.671950551804,831.674219824566,972.245382462035,979.033835486025,814.76985302195,1268.49469728523,824.5518493124,913.045672328686,805.900269810146,864.266190195996
"ABI1",3233.49258897043,2135.31198134778,2483.97451413236,2190.13434162152,2526.94636274695,2066.21766198853,1994.54930536974,2108.83276727461,2556.99106970048,1930.3379271776
"ABI2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ABI3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ABI3BP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ABL1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ABL2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ABLIM1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ABLIM2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ABLIM3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ABR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ABRACL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ABT1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ABTB1",5142.23618141381,5124.75863544101,4785.63196934677,5361.6386142331,4214.10929154226,7700.4829823966,7765.54029224593,6440.03801151487,4809.2299416636,5213.406532655
"ABTB2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ACAA1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ACAA2",2635.49585759651,3418.39163174754,2289.16340828026,2624.8123664895,3702.66050161323,3030.97266768041,6250.63334195337,2289.14962292828,2609.30088762429,2449.58875515859
"ACACB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ACAD10",1063.73554995791,1130.52354211948,1289.98053484428,918.431808162895,906.232127667745,977.093681064784,1108.33730392856,1099.07624049765,1151.52756048796,1098.43052740004
"ACAD8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ACAD9",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ACADM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ACADS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ACADSB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ACADVL",15081.932132141,19357.9008109251,14781.6500254219,11051.7828192204,12718.3000684615,14992.3420164147,24913.3839850118,18706.9234898993,15276.6814633324,18458.5665362181
"ACAP1",457.441590044456,340.878178508775,436.010659736921,585.118204082673,431.292340727803,651.380734469717,389.23802776831,470.439617105749,375.523240047425,324.774380942903
"ACAP2",2152.16169414246,1809.44837833512,2422.98165690284,2552.44957709037,2027.5843504391,1686.66253053725,2271.46381485169,1899.05297537813,2301.30108566161,1459.14145887362
"ACAP3",6002.99396119888,4586.67408974714,4502.14928642999,3998.61495184965,4446.00446379442,4733.2261013994,4652.96727602101,3636.46747027317,3994.47817860704,4372.37229444546
"ACAT1",3999.59974613443,4553.01434522807,4011.0107398451,4662.57269506197,3082.37540001121,3963.07396920606,7706.18567725591,4665.57248657239,4632.61153778157,4162.1414913241
"ACAT2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ACBD3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ACBD4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ACBD5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ACBD6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ACCS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ACD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ACE",289.943592103512,226.000082886982,498.827720242623,303.964856259632,275.821454239884,284.020424148302,325.445391454633,255.4020388597,298.234762934385,329.457827429995
"ACER3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ACHE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ACIN1",8615.73024006188,7147.8560913832,6927.58976701921,4733.59045377833,11404.5236000899,5682.2003679063,5509.35885024565,7419.39550568059,9852.75473126624,7263.83716954164
"ACKR2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ACKR3",1069.51530771829,424.193916998962,745.438955978336,1273.02976771139,671.044803597256,680.628218802466,1606.04711823421,793.803177991169,492.498523540517,878.732631708914
"ACLY",3526.66978623515,3798.54305877483,4666.48069447264,2930.85052451317,3782.15970195048,2825.52025081542,4646.19322855192,4081.07609296481,3528.41341472053,3624.25099705402
"ACO1",1384.02228936938,2085.75185503623,2325.77727070071,1635.22492097496,1539.4642507368,1700.75634443767,4628.3170361583,1900.30436131412,1700.42826220842,2257.59419213803
"ACO2",7294.78009573826,7482.6499512764,6173.84667259777,6150.92098645985,7557.91264540887,6129.98540365068,11580.2390216645,7025.03165963869,6982.94254910253,7440.39508535595
"ACOT11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ACOT13",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ACOT2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ACOT4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ACOT7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ACOT8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ACOT9",1360.24594393756,964.367616379722,1311.17804769929,1219.52588305486,1510.7580737875,1455.32810483356,1172.70871467571,951.198324739398,793.144226966597,888.463532415191
"ACOX1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ACOX2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ACOX3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ACP1",2452.04747941352,2820.33686140182,2699.54261513164,3054.72983236734,2879.67573421036,2352.89981831072,2366.32409303765,2265.19090644919,2460.7939795387,2773.6099021028
"ACP2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ACP5",133.850850784416,150.54162721378,235.059938723924,345.259449901301,200.784821788971,226.648785903796,66.0391599984135,193.593943064349,191.395394188716,160.901113836611
"ACP6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ACSBG1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ACSF2",537.327571783011,533.592225202592,788.944215292676,1214.78180535471,1022.65970687926,783.261397825525,1250.49711528465,827.176723199956,638.962893922127,1401.82108799184
"ACSF3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ACSL1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ACSL3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ACSL4",2849.53031421896,3625.18993900355,3213.82346493334,3016.92096537267,3109.20243452717,3056.87918222753,4212.93068308913,3032.95855795964,2623.08424537055,1952.82402044359
"ACSL5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ACSS1",6051.71037441588,4606.23386947123,5929.8388480518,4762.53793754522,5994.38435631533,4942.55376886043,3497.58604109867,5698.17876361961,7473.34862607653,3321.96457574528
"ACSS2",2328.1685888329,4119.12199228527,2696.34419028703,2466.09167032402,3712.28194875348,3635.87751134117,6944.99659163088,3027.40643313361,2141.92885797094,3924.09477860587
"ACTA2",11146.3824538879,11735.241154063,6492.15891198633,4707.83958327035,5183.81299005292,7378.42239831959,5398.74122870782,10999.275379976,10834.6033942134,7940.32804540099
"ACTB",320897.739598852,295680.497570404,382565.023338779,325645.008270962,372476.862513178,366415.600743859,256300.970988454,292445.249605636,322249.40445974,353113.208071345
"ACTG1",149205.388245887,133812.875820003,166537.677240765,166683.858343928,172240.996791831,159237.013303693,103372.80390404,131803.481884034,146537.022262594,153389.800200925
"ACTG2",1259.10880240249,1523.67860041907,184.595332890108,201.009399417066,349.997879644343,273.519055699301,516.01010512911,1566.85614781004,358.846401755421,126.047087470724
"ACTL10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ACTL6A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ACTN1",5847.57760227222,5400.6355487001,4180.11812255189,2865.06308475703,3900.81532516445,4995.6140869642,4155.50974255517,5289.32410766196,6103.18395407614,4138.38780533535
"ACTN2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ACTN4",30252.4670366763,21130.7120328512,35709.6225291032,16326.3350813191,20272.8872436319,15026.3553263797,15225.2102648841,19203.3000414679,20450.9603659578,17768.9961425263
"ACTR10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ACTR1A",7027.89826051619,6567.72927467033,7118.87444629451,7250.46750751772,7217.43662312883,5642.9373665109,7560.38196607988,6484.89305758994,7182.94628033793,7086.73556021455
"ACTR1B",3931.56225928527,4199.48536455987,3526.83164827518,3790.79796266562,4040.90175468245,3884.45701964351,4091.08000391448,3968.6534159474,3927.81536741615,3471.86888087693
"ACTR2",14445.0863173437,12789.4783447289,17167.2608248844,16562.7025257237,16966.0557513004,10476.815084706,11269.7433508974,11836.5432153083,14755.2789403321,11050.2498283822
"ACTR3",4297.71519462472,3382.54951637549,4393.3276402821,4527.64781099939,4875.0359454683,3629.69272716036,3060.01984151487,3113.17367170851,3342.18967238402,2867.78081316012
"ACTR3B",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ACTR3C",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ACTR5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ACTR6",673.939279932222,799.649867994409,919.231983246258,983.221876066994,714.877031343417,657.99148063674,728.926201980262,704.449620865386,725.441962560147,657.648533780178
"ACTR8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ACVR1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ACVR1B",2177.95280559431,2077.51907023404,2224.94091105341,2131.32626919814,2871.64535451063,1705.84413594313,2144.7507476982,2232.17473542201,4014.79132455356,2325.4210148688
"ACVR1C",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ACVR2A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ACVR2B",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ACVRL1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ACY1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ACYP1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ACYP2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ADA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ADAL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ADAM10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ADAM11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ADAM15",6872.17182740394,5201.70116666,6608.25541224735,6145.34668222102,6713.00213166764,5626.34091951231,5142.8402766512,4317.84936002057,6281.04867134178,5241.72656370663
"ADAM17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ADAM19",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ADAM22",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ADAM23",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ADAM28",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ADAM33",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ADAM8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ADAM9",1870.62709993844,2113.85084210246,2880.86136390015,2477.54102012562,3550.37037075092,1012.49594432778,1974.67503536147,2243.96950468845,1583.05590292393,1352.45124867114
"ADAMTS1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ADAMTS10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ADAMTS13",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ADAMTS2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ADAMTS4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ADAMTSL2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ADAMTSL4",2315.53677571846,2465.52672290306,1552.51218806491,1210.97369426201,1172.53650198108,3411.64734933041,1903.72036689952,1648.35944716939,2016.89691193849,1112.69183824333
"ADAMTSL5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ADAP1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ADAP2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ADAR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ADARB1",1566.17237314435,1825.16425221615,1586.10753378868,1551.43233528888,1606.22682496064,2510.37398571228,1881.88344136769,1780.54563539971,1710.49528232148,1716.32173540579
"ADAT1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ADAT2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ADAT3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ADCK1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ADCK2",650.663560546095,768.513034539919,933.251973123827,809.893790424246,785.9341537858,839.952415746379,706.939925403142,784.148496930388,729.282711347969,928.507467270661
"ADCK5",504.926167231677,336.104979961163,491.260921551802,481.308477460823,406.98516345494,536.301519603637,342.722502589737,329.246467115514,407.039176729523,526.603027246763
"ADCY10P1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ADCY2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ADCY3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ADCY4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ADCY5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ADCY6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ADCY7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ADCY9",1464.89722709408,1133.82722978615,1290.83501128674,1782.9476040603,1145.88443444764,1116.9753621933,1271.95278594904,1409.4792374551,2104.24122783127,2180.90885729675
"ADD1",16192.8442966823,19051.7455532919,14657.8968852671,10143.3540429422,14686.6306342807,14477.9373237784,21907.9816595501,19530.7957833672,19491.4607690987,16482.0644368796
"ADD2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ADD3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ADH1B",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ADH5",2211.42214903565,2775.23482489749,2019.95824145746,2062.00516363465,2348.5612519598,2748.27613589971,3797.7205231237,2787.60507872082,2223.37436864986,2096.04455245664
"ADHFE1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ADI1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ADIPOR1",5845.34873226215,3791.5441031491,6101.27333016884,6165.66253682395,4957.41940303498,3951.09831117256,4650.74400363219,4192.18788402702,5152.10292157609,3872.68375478798
"ADIPOR2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ADK",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ADM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ADNP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ADNP2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ADO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ADORA2A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ADORA2B",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ADPGK",1750.42538307855,1679.84839268419,1305.65967207975,1331.560481368,1520.88405935671,1564.05782089177,1139.91243199555,1392.99563964398,1596.58983741674,1654.55209511369
"ADPRH",362.467528866245,366.903255075092,481.685423746977,366.506582087737,452.140497942804,624.411339536224,444.922849390552,383.926694286307,362.472586630725,347.847750712821
"ADPRHL1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ADPRM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ADRA2A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ADRB2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ADRM1",2897.25167610723,2501.58370074539,3107.80629432899,4046.44546063788,3855.09762761553,3732.1734318973,2690.54424693484,2315.9701555237,2376.71307924178,2844.21463326675
"ADSL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AEBP1",7309.61380554177,3319.77637238512,4973.51518529624,1940.42150032918,3872.71718428491,5444.71348760206,2924.62209108165,3378.3234004296,5826.91430413596,6774.6416564979
"AEBP2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AEN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AFAP1",1151.63498717012,1144.42443948814,1117.82186466802,832.774069024982,1234.70428317034,854.672954172715,1039.53885880037,1042.73339599328,1129.87392457863,865.70103999348
"AFAP1L1",318.020814602258,298.520524249835,359.603990794372,250.565141605839,356.894838481531,262.265535572817,984.767903051555,301.191276505559,372.611916022056,266.251411098492
"AFAP1L2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AFF1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AFF3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AFF4",9166.35340665072,8635.16294780662,8405.95675100936,7910.53412317536,8093.47995143913,4631.42835754318,6334.94270910329,8413.58749865457,9970.1202320437,6629.54296437479
"AFG3L1P",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AFG3L2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AFMID",583.03549373435,646.145399452331,670.145539153722,653.824336853573,829.633254710179,643.926048493106,572.417573992048,967.943684410066,967.968832391433,864.389860267424
"AFTPH",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AGA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AGAP1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AGAP2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AGAP3",3992.49921252093,4435.62055447738,3611.21422632109,3809.12714948211,3867.94931386552,5148.54044473168,4804.48995087739,4570.73144999989,4420.39552739974,4618.01247518386
"AGAP4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AGAP5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AGAP6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AGBL5",649.583085622531,897.240431763268,842.912900528304,819.361014851227,740.273631908406,978.30696445696,887.653674652772,878.186061179314,786.052217876612,786.899130470187
"AGFG1",2674.0033169037,3515.17347808696,2953.27841651452,3350.10748264976,4126.70278321568,3540.3361910857,3674.05501375367,2953.63410100447,3620.62054454408,2939.33215608709
"AGFG2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AGGF1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AGK",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AGL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AGMAT",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AGO1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AGO2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AGO3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AGO4",1731.25055072058,1744.0153581543,1942.5124765647,1534.31075375147,1790.36753654284,1523.18592493913,1923.11666453808,1935.37368289197,1737.24155557337,1723.65586361797
"AGPAT2",1283.68326725359,1724.42565283,1056.29638936724,1713.66746150014,1516.85729798206,2114.81371334072,4687.97292374277,1407.32656273969,1775.47585323203,1416.90909352101
"AGPAT3",4013.7409133301,3638.89616459852,5265.78877742771,4742.23530247514,4033.62452874722,3672.7591662774,4869.9600438606,3728.49462160109,3891.16230970202,3627.05058323
"AGPAT4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AGPAT5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AGPS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AGRN",4500.55198588596,3112.18273095527,3946.40859830413,1578.46207164821,2790.11818692719,2861.28490837149,1114.92250115224,3204.50038297868,2116.44564600118,3514.28736619249
"AGT",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AGTPBP1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AGTRAP",809.703872966659,827.973229886506,1459.22064860003,970.831847117538,1472.7945162456,2321.22944790967,743.769785011609,1342.47146256867,912.323049303329,1800.81163715984
"AHCTF1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AHCY",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AHCYL1",9254.07057335477,10534.4826308899,8113.48426647189,6551.62882177064,9525.35472752419,10410.8373815717,11059.0274677601,10248.9208059653,10983.3916482373,10799.1438373653
"AHCYL2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AHDC1",2452.98363379928,3136.32445655132,2034.90028319057,1701.32412590729,2189.422755851,2232.28074922784,1921.53516709454,3056.69307463353,2525.42137879527,2481.30316715565
"AHI1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AHNAK",69522.724366346,95483.7212488972,60647.5288119535,50210.3944526661,70595.3133557045,34443.800958567,102459.410929459,97705.0936348784,103440.252237111,64723.1884709734
"AHNAK2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AHR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
